"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C8,C9","5","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C7,C10,C12","5","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11","1","35ZLH100MEFC6.3X11","","","","easyeda2kicad:CAP-TH_BD6.3-P2.50-D1.0-FD","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_Rubycon_35ZLH100MEFC6-3X1_100uF-107-20-35V_C109392.html"
"D1","1","ESD122DMYR","","","","easyeda2kicad:X2SON-3_L1.3-W0.6-L",""
"D2","1","SMBJ5.0A_C83333","","","","easyeda2kicad:SMB_L4.6-W3.6-LS5.3-RD","https://lcsc.com/product-detail/Others_Littelfuse_SMBJ5-0A_Littelfuse-SMBJ5-0A_C83333.html"
"D3","1","LED_ON","","","","LED_THT:LED_D5.0mm","~"
"D4","1","LED_STATUS","","","","LED_THT:LED_D5.0mm","~"
"D5","1","SS310_C14281","","","","easyeda2kicad:SMB_L4.6-W3.6-LS5.3-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS310_C14281.html"
"F1","1","TLC-PSML400","","","","easyeda2kicad:F0805",""
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"J2","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~"
"MOTOR1","1","916-252A2023Y10200","","","","easyeda2kicad:USB-A-TH_916-352A102BY10200",""
"R1,R5,R6,R7,R11,R13","6","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3,R4,R9","4","5.1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R10","2","1MΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12,R14,R15,R16","4","100Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","~"
"U1","1","ESP32-C3-MINI-1","","","","PCM_Espressif:ESP32-C3-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c3-mini-1_datasheet_en.pdf"
"U2","1","TLV75733PDBVR","","","","easyeda2kicad:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/New-Arrivals_Texas-Instruments-Texas-Instruments-TLV75733PDBVR_C485517.html"
"U4","1","HX711_C6705483","","","","easyeda2kicad:SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",""
"USB1,USB3","2","MC-710A","","","","easyeda2kicad:USB-C-TH_MC-710A",""
